user_id,user_anomaly_score,item_id,item_anomaly_score
0,0.060576845,0,0.22063413
1,0.011284292,1,0.08065834
2,0.3097143,2,0.111151494
3,0.51543814,3,0.082955405
4,0.3744251,4,0.05905216
5,0.21419713,5,0.09057019
6,0.25707662,6,0.023466228
7,0.08842351,7,0.14833982
8,0.13668531,8,0.13317011
9,0.19613025,9,0.047109604
10,0.3263452,10,0.13914108
11,0.10107588,11,0.11761383
12,0.25237924,12,0.1351843
13,0.15308265,13,0.107867144
14,0.2422894,14,0.11602701
15,0.032399993,15,0.14871556
16,0.08959709,16,0.14928275
17,0.29610103,17,0.024560213
18,0.012785913,18,0.1964905
19,0.20951864,19,0.12237844
20,0.08722093,20,0.1934861
21,0.41787967,21,0.17852086
22,0.12001768,22,0.09434713
23,0.21442442,23,0.14980012
24,0.11256812,24,0.17803763
25,0.3251028,25,0.16712621
26,0.08782423,26,0.18003593
27,0.02017659,27,0.06738198
28,0.21356569,28,0.09201968
29,0.23176922,29,0.19216114
30,0.017359046,30,0.10885284
31,0.065590605,31,0.07194676
32,0.5202825,32,0.10032523
33,0.07671842,33,0.11558258
34,0.0767903,34,0.12697732
35,0.060571894,35,0.17390229
36,0.110055625,36,0.1450056
37,0.014530964,37,0.084406696
38,0.03798975,38,0.27147135
39,0.4921628,39,0.09520637
40,0.09047783,40,0.1607974
41,0.026617521,41,0.14752185
42,0.09393783,42,0.031777475
43,0.07907778,43,0.14445893
44,0.006498502,44,0.10067008
45,0.23409238,45,0.10196118
46,0.112656824,46,0.09607004
47,0.012943625,47,0.098281555
48,0.4249461,48,0.12151257
49,0.31863314,49,0.1272212
50,0.4491448,50,0.16424479
51,0.33399078,51,0.11961147
52,0.034070443,52,0.07645713
53,0.050716102,53,0.09955854
54,0.06784064,54,0.04722328
55,0.22490925,55,0.21099816
56,0.43741977,56,0.16658117
57,0.29447013,57,0.28605348
58,0.56810087,58,0.19476546
59,0.31688696,59,0.21061105
60,0.1558874,60,0.16113123
61,0.07866697,61,0.15961027
62,0.03814872,62,0.10557103
